neighbourhood_group,neighbourhood,lat,long,instant_bookable,cancellation_policy,room_type,construction_year,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,review_rate_number,calculated_host_listings_count,availability_365,occupancy_rate,estimated_occupied_nights,estimated_revenue,log_price
Brooklyn,Kensington,40.64749,-73.97237,False,strict,Private room,2020.0,966,10,9.0,2021-10-19,0.21,4.0,6.0,286.0,0.21643835616438356,79.0,76314.0,6.873163834212518
Manhattan,Midtown,40.75362,-73.98377,False,moderate,Entire home/apt,2007.0,142,30,45.0,2022-05-21,0.38,4.0,2.0,228.0,0.37534246575342467,137.0,19454.0,4.955827057601261
Manhattan,Harlem,40.80902,-73.9419,True,flexible,Private room,2005.0,620,3,0.0,,,5.0,1.0,352.0,0.03561643835616438,13.0,8060.0,6.429719478039138
Brooklyn,Clinton Hill,40.68514,-73.95976,True,moderate,Entire home/apt,2005.0,368,30,270.0,2019-07-05,4.64,4.0,1.0,322.0,0.1178082191780822,43.0,15824.0,5.908082938168931
Manhattan,East Harlem,40.79851,-73.94399,False,moderate,Entire home/apt,2009.0,204,10,9.0,2018-11-19,0.1,3.0,1.0,289.0,0.20821917808219179,76.0,15504.0,5.318119993844216
Manhattan,Murray Hill,40.74767,-73.975,True,flexible,Entire home/apt,2013.0,577,3,74.0,2019-06-22,0.59,3.0,1.0,365.0,0.0,0.0,0.0,6.3578422665081
Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,False,moderate,Private room,2015.0,71,45,49.0,2017-10-05,0.4,5.0,1.0,224.0,0.3863013698630137,141.0,10011.0,4.2626798770413155
Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,False,moderate,Private room,2009.0,1060,45,49.0,2017-10-05,0.4,5.0,1.0,219.0,0.4,146.0,154760.0,6.966024187106113
Manhattan,Hell's Kitchen,40.76489,-73.98493,True,strict,Private room,2005.0,1018,2,430.0,2019-06-24,3.47,3.0,1.0,180.0,0.5068493150684932,185.0,188330.0,6.925595197110468
Manhattan,Upper West Side,40.80178,-73.96723,False,strict,Private room,2015.0,291,2,118.0,2017-07-21,0.99,5.0,1.0,365.0,0.0,0.0,0.0,5.673323267171493
Manhattan,Chinatown,40.71344,-73.99037,False,flexible,Entire home/apt,2004.0,319,1,160.0,2019-06-09,1.33,3.0,4.0,1.0,0.9972602739726028,364.0,116116.0,5.765191102784844
Manhattan,Upper West Side,40.80316,-73.96545,True,flexible,Entire home/apt,2008.0,606,5,53.0,2019-06-22,0.43,4.0,1.0,163.0,0.5534246575342465,202.0,122412.0,6.406879986069314
Manhattan,Hell's Kitchen,40.76076,-73.98867,False,strict,Private room,2008.0,714,2,188.0,2019-06-23,1.5,4.0,1.0,258.0,0.29315068493150687,107.0,76398.0,6.570882962339584
Brooklyn,South Slope,40.66829,-73.98779,True,moderate,Private room,2010.0,580,4,167.0,2019-06-24,1.34,4.0,3.0,47.0,0.8712328767123287,318.0,184440.0,6.363028103540465
Manhattan,Upper West Side,40.79826,-73.96113,False,flexible,Private room,2019.0,149,2,113.0,2019-07-05,0.91,3.0,1.0,68.0,0.8136986301369863,297.0,44253.0,5.003946305945459
Manhattan,West Village,40.7353,-74.00525,True,flexible,Entire home/apt,2018.0,578,90,27.0,2018-10-31,0.22,3.0,1.0,100.0,0.726027397260274,265.0,153170.0,6.359573868672378
Brooklyn,Williamsburg,40.70837,-73.95352,False,moderate,Entire home/apt,2009.0,778,2,148.0,2019-06-29,1.2,3.0,1.0,197.0,0.4602739726027397,168.0,130704.0,6.656726524178391
Brooklyn,Fort Greene,40.69169,-73.97185,False,flexible,Entire home/apt,2006.0,656,2,198.0,2019-06-28,1.72,5.0,1.0,96.0,0.736986301369863,269.0,176464.0,6.486160788944089
Manhattan,Chelsea,40.74192,-73.99501,False,moderate,Private room,2008.0,460,1,260.0,2019-07-01,2.12,3.0,1.0,325.0,0.1095890410958904,40.0,18400.0,6.131226489483141
Brooklyn,Crown Heights,40.67592,-73.94694,False,moderate,Entire home/apt,2004.0,1095,3,53.0,2019-06-22,4.44,5.0,1.0,345.0,0.0547945205479452,20.0,21900.0,6.9985096422506015
Manhattan,East Harlem,40.79685,-73.94872,False,moderate,Entire home/apt,2013.0,281,7,0.0,,,3.0,2.0,347.0,0.049315068493150684,18.0,5058.0,5.638354669333745
Brooklyn,Williamsburg,40.71842,-73.95718,False,flexible,Entire home/apt,2016.0,477,3,9.0,2021-12-28,0.07,3.0,1.0,193.0,0.4712328767123288,172.0,82044.0,6.1675164908883415
Brooklyn,Park Slope,40.68069,-73.97706,False,moderate,Private room,2013.0,133,2,130.0,2019-07-01,1.09,4.0,6.0,54.0,0.852054794520548,311.0,41363.0,4.890349128221754
Brooklyn,Park Slope,40.67989,-73.97798,False,moderate,Private room,2017.0,1050,1,39.0,2019-01-01,0.37,3.0,6.0,9.0,0.9753424657534246,356.0,373800.0,6.956545443151569
Brooklyn,Park Slope,40.68001,-73.97865,False,strict,Private room,2005.0,816,2,71.0,2019-07-02,0.61,4.0,6.0,344.0,0.057534246575342465,21.0,17136.0,6.704414354964107
Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,False,strict,Entire home/apt,2006.0,1175,2,88.0,2019-06-19,0.73,4.0,2.0,365.0,0.0,0.0,0.0,7.069023426578259
Brooklyn,Windsor Terrace,40.65599,-73.97519,False,moderate,Private room,2021.0,530,1,19.0,2019-06-23,1.37,5.0,2.0,344.0,0.057534246575342465,21.0,11130.0,6.272877006546167
Brooklyn,Bushwick,40.70186,-73.92745,True,moderate,Entire home/apt,2005.0,1097,2,231.0,2019-06-22,1.96,3.0,2.0,214.0,0.4136986301369863,151.0,165647.0,7.00033446027523
Brooklyn,Flatbush,40.63702,-73.96327,True,strict,Private room,2011.0,1020,1,0.0,,,3.0,1.0,356.0,0.024657534246575342,9.0,9180.0,6.927557906278317
Manhattan,Lower East Side,40.71401,-73.98917,True,moderate,Shared room,2012.0,1010,1,214.0,2019-07-05,1.81,5.0,4.0,110.0,0.6986301369863014,255.0,257550.0,6.917705609835305
Manhattan,East Village,40.7229,-73.98199,False,strict,Private room,2005.0,563,2,245.0,2019-06-21,2.08,3.0,2.0,354.0,0.030136986301369864,11.0,6193.0,6.333279628139691
Brooklyn,South Slope,40.66278,-73.97966,True,flexible,Entire home/apt,2020.0,370,3,15.0,2019-05-27,0.39,2.0,1.0,33.0,0.9095890410958904,332.0,122840.0,5.91350300563827
Brooklyn,Fort Greene,40.69673,-73.97584,False,strict,Private room,2008.0,687,7,25.0,2018-09-30,0.23,1.0,1.0,365.0,0.0,0.0,0.0,6.532334292222349
Manhattan,Upper West Side,40.79009,-73.97927,False,strict,Private room,2017.0,856,4,81.0,2019-06-16,0.69,3.0,1.0,86.0,0.7643835616438356,279.0,238824.0,6.752270376141742
Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,False,moderate,Entire home/apt,2015.0,363,3,11.0,2017-01-01,0.1,1.0,1.0,85.0,0.7671232876712328,280.0,101640.0,5.8944028342648505
Brooklyn,Fort Greene,40.69142,-73.97376,True,strict,Private room,2009.0,212,3,135.0,2019-06-17,1.16,1.0,2.0,96.0,0.736986301369863,269.0,57028.0,5.356586274672012
Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,False,moderate,Private room,2015.0,728,3,112.0,2019-06-16,1.01,2.0,3.0,96.0,0.736986301369863,269.0,195832.0,6.590301048196686
Manhattan,Upper West Side,40.78635,-73.97008,True,strict,Entire home/apt,2013.0,901,3,73.0,2019-07-07,0.63,3.0,1.0,96.0,0.736986301369863,269.0,242369.0,6.803505257608338
Brooklyn,Williamsburg,40.7042,-73.9356,False,flexible,Entire home/apt,2007.0,335,3,82.0,2019-05-17,0.7,2.0,1.0,96.0,0.736986301369863,269.0,90115.0,5.814130531825066
Brooklyn,Greenpoint,40.73506,-73.95392,True,moderate,Entire home/apt,2014.0,254,3,328.0,2019-06-29,2.82,5.0,1.0,96.0,0.736986301369863,269.0,68326.0,5.537334267018537
Manhattan,Kips Bay,40.73961,-73.98074,True,moderate,Entire home/apt,2017.0,903,3,19.0,2019-03-25,0.22,5.0,1.0,96.0,0.736986301369863,269.0,242907.0,6.805722553416985
Brooklyn,Williamsburg,40.70881,-73.9593,False,moderate,Entire home/apt,2012.0,439,30,105.0,2019-06-22,0.9,5.0,1.0,96.0,0.736986301369863,269.0,118091.0,6.0844994130751715
Manhattan,Lower East Side,40.72004,-73.99104,True,flexible,Private room,2009.0,1024,5,19.0,2019-05-18,0.17,4.0,1.0,96.0,0.736986301369863,269.0,275456.0,6.931471805599453
Manhattan,Hell's Kitchen,40.75531,-73.99293,True,strict,Private room,2006.0,658,2,289.0,2019-06-09,2.49,3.0,2.0,96.0,0.736986301369863,269.0,177002.0,6.489204931325317
Brooklyn,Greenpoint,40.72401,-73.93788,False,flexible,Private room,2020.0,543,4,138.0,2019-06-04,1.19,1.0,3.0,96.0,0.736986301369863,269.0,146067.0,6.297109319933935
Manhattan,SoHo,40.7221,-73.99775,True,strict,Entire home/apt,2019.0,256,30,21.0,2019-06-29,0.3,5.0,1.0,96.0,0.736986301369863,269.0,68864.0,5.545177444479562
Brooklyn,Williamsburg,40.71185,-73.96204,False,moderate,Private room,2012.0,294,2,42.0,2019-06-30,0.38,3.0,1.0,96.0,0.736986301369863,269.0,79086.0,5.683579767338681
Manhattan,Chelsea,40.74623,-73.9953,True,moderate,Entire home/apt,2004.0,779,180,5.0,2018-11-03,0.12,2.0,1.0,96.0,0.736986301369863,269.0,209551.0,6.658011045870748
Manhattan,Upper East Side,40.77065,-73.95269,False,strict,Entire home/apt,2020.0,653,2,66.0,2019-03-30,0.57,5.0,2.0,96.0,0.736986301369863,269.0,175657.0,6.481577129276431
Brooklyn,Prospect Heights,40.67811,-73.96428,True,flexible,Entire home/apt,2012.0,303,30,143.0,2019-01-26,1.33,1.0,2.0,96.0,0.736986301369863,269.0,81507.0,5.713732805509369
Brooklyn,Clinton Hill,40.69,-73.96788,False,flexible,Private room,2010.0,825,7,27.0,2017-09-30,0.23,2.0,2.0,96.0,0.736986301369863,269.0,221925.0,6.715383386334681
Manhattan,Hell's Kitchen,40.75979,-73.99119,False,strict,Private room,2013.0,646,30,191.0,,1.65,1.0,1.0,96.0,0.736986301369863,269.0,173774.0,6.470799503782602
Brooklyn,Park Slope,40.67343,-73.98338,False,flexible,Entire home/apt,2006.0,1037,3,4.0,2017-09-24,0.16,3.0,1.0,96.0,0.736986301369863,269.0,278953.0,6.9440872082295275
Manhattan,East Village,40.72649,-73.97904,False,strict,Private room,2015.0,87,1,338.0,2019-07-01,4.72,3.0,2.0,96.0,0.736986301369863,269.0,23403.0,4.465908118654584
Brooklyn,Williamsburg,40.70933,-73.96792,True,moderate,Entire home/apt,2007.0,316,1,148.0,2019-06-23,1.4,1.0,1.0,96.0,0.736986301369863,269.0,85004.0,5.755742213586912
Manhattan,East Village,40.72298,-73.98474,True,flexible,Private room,2017.0,735,1,106.0,2019-06-21,1.26,3.0,2.0,96.0,0.736986301369863,269.0,197715.0,6.5998704992128365
Manhattan,East Harlem,40.80164,-73.93922,False,flexible,Entire home/apt,2017.0,524,4,190.0,2019-06-23,1.64,4.0,1.0,96.0,0.736986301369863,269.0,140956.0,6.261491684321042
Manhattan,East Village,40.72162,-73.98008,False,moderate,Entire home/apt,2019.0,238,9,49.0,2018-05-14,0.43,3.0,1.0,96.0,0.736986301369863,269.0,64022.0,5.472270673671475
Manhattan,Hell's Kitchen,40.76342,-73.98865,False,moderate,Private room,2017.0,603,7,23.0,2019-06-01,0.43,3.0,1.0,96.0,0.736986301369863,269.0,162207.0,6.401917196727186
Brooklyn,Fort Greene,40.6932,-73.97267,True,flexible,Private room,2013.0,744,3,143.0,2019-06-16,1.28,2.0,1.0,96.0,0.736986301369863,269.0,200136.0,6.612041034833092
Manhattan,Chelsea,40.74138,-74.00197,True,strict,Private room,2011.0,1065,3,167.0,2019-05-28,1.65,4.0,1.0,96.0,0.736986301369863,269.0,286485.0,6.970730078143525
